word,m.11,m.12,m.13,m.14,m.15,m.16,m.17,m.18,m.19,m.20,m.21,m.22,m.23,m.24
"adoré",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"adossée",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"adresse",0,1,0,0,1,0,0,0,0,0,0,0,0,0
"adrien",0,0,0,0,18,26,0,0,0,0,30,22,110,16
"adulte",0,1,0,0,0,0,0,0,2,0,0,0,0,0
"adultes",0,0,0,0,0,0,0,0,1,0,1,0,0,0
"advil",0,0,0,0,0,0,2,0,0,0,0,0,0,0
"adèle",0,0,0,0,0,0,0,0,0,0,0,3,0,4
"afe",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"affaire",0,0,0,1,0,0,0,2,0,1,1,0,0,0
"affaires",0,0,1,1,0,0,2,3,1,2,3,2,3,0
"affalé",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"affamé",0,0,0,0,0,0,0,2,2,1,0,0,2,0
"affection",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"affiche",0,0,0,0,2,0,0,0,0,0,0,0,0,1
"affiches",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"affoles",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"affreux",0,1,0,0,0,0,1,0,1,0,0,0,0,0
"affût",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"africaine",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"afrique",0,0,0,0,0,0,0,0,0,0,1,1,0,0
"agace",0,0,0,1,0,0,0,0,0,0,1,0,0,0
"agagaga",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"agaçant",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"age",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"agenda",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"agir",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"agissait",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"agit",0,0,0,0,0,0,0,0,0,0,0,1,2,1
"agiter",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"agité",0,0,0,0,0,0,0,0,0,0,0,0,0,2
"agla",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"aglaé",0,0,0,0,0,0,0,0,4,0,0,0,0,0
"agn",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"agnès",0,0,0,0,0,0,0,0,0,0,0,2,0,3
"agrae",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"agrandir",0,0,1,0,1,0,1,0,1,0,0,0,0,0
"agrandissent",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"agressif",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"agression",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"agriculteur",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"agrippe",0,0,0,0,0,1,0,1,1,0,0,0,0,0
"agréable",0,1,0,0,0,2,1,1,0,2,2,2,1,2
"agréablement",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ah",62,371,421,389,269,261,397,513,390,318,413,631,771,636
"aha",0,0,0,0,0,0,0,0,0,0,1,0,1,0
"ahh",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ahhah",0,0,0,0,1,0,0,0,0,0,1,0,0,0
"ahlala",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ahlalalala",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ai",8,55,62,58,73,45,81,80,76,93,76,142,169,118
"aide",0,6,7,10,3,10,12,6,17,9,10,12,15,5
"aider",0,3,2,5,6,4,6,5,3,6,1,12,6,11
"aiderait",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"aiderez",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"aideront",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"aides",0,1,3,1,1,1,8,7,1,1,9,6,2,2
"aidiez",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"aidé",0,0,0,0,0,2,0,0,0,0,0,1,0,0
"aidée",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"aie",0,0,3,1,0,0,0,0,0,1,4,2,3,0
"aies",0,1,0,1,1,0,0,0,0,1,0,2,0,0
"aieuh",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"aiguilles",0,0,3,0,0,0,0,0,0,0,0,0,0,0
"aigües",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ail",0,1,0,0,0,0,0,0,0,0,0,0,1,0
"aile",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"aileron",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ailes",0,0,0,1,0,0,1,8,0,0,0,1,1,4
"aille",0,2,5,4,5,1,2,6,2,7,3,11,8,7
"ailles",0,0,0,2,0,0,1,1,0,0,0,0,1,0
"ailleur",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ailleurs",0,5,7,3,2,2,1,2,3,5,7,11,11,7
